trna_isotype	query	trna_isotype_start	trna_isotype_end	query_start	query_end	evalue	count	sample_id
tRNA-Ala-AGC	tRNA-Ala-AGC-8-1__strt43__count10__2251639190738118545	43	73	1	31	6.3e-7	10	NoD1_BH4
tRNA-Ala-AGC	tRNA-Ala-AGC-11-1__strt45__count12__12857708280024258229	45	73	1	29	4.8e-6	12	NoD1_BH4
tRNA-Ala-AGC	tRNA-Ala-AGC-11-1__strt46__count13__3939761750806715065	46	73	1	28	0.000015	13	NoD1_BH4
tRNA-Ala-AGC	tRNA-Ala-AGC-8-1__strt46__count13__15382964433840004983	46	73	1	28	0.000021	13	NoD1_BH4
tRNA-Ala-AGC	tRNA-Ala-AGC-11-1__strt47__count24__10629850532941262259	47	73	1	27	2.4e-6	24	NoD1_BH4
tRNA-Ala-AGC	tRNA-Ala-AGC-8-1__strt47__count48__1354099687673578793	47	73	1	27	3.5e-6	48	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt1__count13__13109321128162388592	1	32	1	32	2.1e-10	13	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt42__count16__12864241046052141477	42	72	1	31	7.5e-9	16	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt42__count290__9933584674869621644	42	72	1	31	7.8e-9	290	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-1-1__strt42__count22__5980954657521177728	42	72	1	31	1.4e-9	22	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-CGC-2-1__strt42__count42__16000824387518339245	42	72	1	31	1.5e-9	42	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-TGC-1-1__strt42__count117__17471712665184133061	42	72	1	31	2.8e-9	117	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-2-1__strt43__count103__4550427073339339750	43	72	1	30	2.4e-8	103	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt43__count10__7267191761384031230	43	72	1	30	4.7e-8	10	NoD1_BH4
tRNA-Ala-CGC	tRNA-Ala-AGC-4-1__strt43__count12__461405393340151413	43	72	1	30	5.4e-7	12	NoD1_BH4
